,Start Time:,2025-10-10 08:00:00, End Time:,2025-10-10 13:15:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-10 12:13:00,60.22,0,0,0,0,0,0,0,2
2025-10-10 12:14:00,60.23,0,0,0,2,0,0,4,2.67
2025-10-10 12:15:00,60.25,4,0,0,0,6,0,0,2.5
2025-10-10 12:16:00,60.27,0,0,0,19,6.67,0,0,3
2025-10-10 12:17:00,60.28,0,2,0,26,2,0,0,0
2025-10-10 12:18:00,60.3,0,0,0,5.33,0,0,0,2
2025-10-10 12:19:00,60.32,0,0,4.67,0,2,0,0,0
2025-10-10 12:20:00,60.33,0,2,8,12,0,0,0,0
2025-10-10 12:21:00,60.35,0,0,10,0,0,2,0,0
2025-10-10 12:22:00,60.37,0,0,0,0,0,0,0,0
2025-10-10 12:23:00,60.38,0,0,0,0,0,0,0,0
2025-10-10 12:24:00,60.4,0,0,0,0,0,4,0,3
2025-10-10 12:25:00,60.42,0,0,0,0,0,0,0,2
2025-10-10 12:26:00,60.43,0,0,0,0,0,0,0,2
2025-10-10 12:27:00,60.45,0,0,0,2,2,0,0,0
2025-10-10 12:28:00,60.47,12,2,2,4,8,0,0,0
2025-10-10 12:29:00,60.48,2,0,0,4,0,0,0,0
2025-10-10 12:30:00,60.5,0,0,6,4,0,0,0,0
2025-10-10 12:31:00,60.52,0,4,6,6,2,0,0,0
2025-10-10 12:32:00,60.53,0,0,4,0,0,0,0,0
2025-10-10 12:33:00,60.55,6,0,0,2,0,0,0,0
2025-10-10 12:34:00,60.57,0,9,0,4,0,12,0,0
2025-10-10 12:35:00,60.58,0,16,0,4,0,0,0,0
2025-10-10 12:36:00,60.6,0,9,0,0,0,0,0,0
2025-10-10 12:37:00,60.62,0,14,0,0,0,0,0,0
2025-10-10 12:38:00,60.63,0,0,2,0,4,0,0,0
2025-10-10 12:39:00,60.65,3,0,6,0,0,0,0,4
2025-10-10 12:40:00,60.67,0,0,0,2,0,4,0,0
2025-10-10 12:41:00,60.68,6,0,0,0,2,0,0,2
2025-10-10 12:42:00,60.7,2,0,3.5,0,6,3,0,0
2025-10-10 12:43:00,60.72,0,0,7,4,0,2,0,0
2025-10-10 12:44:00,60.73,10,2,4,0,0,0,0,0
2025-10-10 12:45:00,60.75,15,8,0,4,0,2,0,4
2025-10-10 12:46:00,60.77,2,8,0,2,0,0,0,0
2025-10-10 12:47:00,60.78,0,0,2,0,0,0,0,0
2025-10-10 12:48:00,60.8,0,2,0,0,0,0,0,0
2025-10-10 12:49:00,60.82,0,0,6,2,0,0,2,0
2025-10-10 12:50:00,60.83,0,0,4,0,0,2,0,0
2025-10-10 12:51:00,60.85,0,4,0,0,0,0,0,0
2025-10-10 12:52:00,60.87,0,6,2,0,0,0,0,0
2025-10-10 12:53:00,60.88,0,0,0,0,0,0,0,0
2025-10-10 12:54:00,60.9,0,0,0,6,0,6,0,6
2025-10-10 12:55:00,60.92,0,0,0,0,0,0,0,16
2025-10-10 12:56:00,60.93,0,0,0,0,0,0,0,0
2025-10-10 12:57:00,60.95,0,0,0,10,0,0,0,0
2025-10-10 12:58:00,60.97,0,0,0,2,0,0,0,2
2025-10-10 12:59:00,60.98,28,0,0,0,0,4,0,0
2025-10-10 13:00:00,61,6,0,0,0,12,4,0,2
2025-10-10 13:01:00,61.02,0,0,0,0,0,3,0,0
2025-10-10 13:02:00,61.03,0,4,0,2,4,0,0,0
2025-10-10 13:03:00,61.05,2,0,0,0,12,0,0,0
2025-10-10 13:04:00,61.07,2,0,12,0,2,3,0,0
2025-10-10 13:05:00,61.08,0,2,2,0,0,4,0,0
2025-10-10 13:06:00,61.1,2,0,0,0,0,6,4,0
2025-10-10 13:07:00,61.12,0,0,4,4,0,0,2,4
2025-10-10 13:08:00,61.13,2,4,0,0,0,0,0,6.67
2025-10-10 13:09:00,61.15,0,0,4,0,0,0,0,7
2025-10-10 13:10:00,61.17,0,10,2,0,6,0,0,2
2025-10-10 13:11:00,61.18,0,0,4,2,0,0,0,0
2025-10-10 13:12:00,61.2,3.33,0,0,2,4,8,0,4
2025-10-10 13:13:00,61.22,2,0,0,0,0,6,2,0
2025-10-10 13:14:00,61.23,0,0,2,0,0,8,4,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
